ID,Series,Title,Type,Basic,Expert,Ultimate,Supreme
174,Final Fantasy X,Servants of the Mountain,FMS,9901099,9946188,0,-
175,Final Fantasy X,A Fleeting Dream,FMS,9770609,9926290,0,-
176,Final Fantasy X,Challenge,BMS,9861660,9868633,0,-
177,Final Fantasy X,Fight with Seymour,BMS,9734918,9606996,0,0
178,Final Fantasy X,Otherworld,BMS,9734737,9787566,0,0
179,Final Fantasy X,A Contest of Aeons,BMS,9250996,9780908,0,0
180,Final Fantasy X,Final Battle,BMS,9885986,9479260,0,0
181,Final Fantasy X-2,1000 Words (FFX-2 Mix),EMS,9415808,9496703,0,-
182,Final Fantasy X-2,"YuRiPa, Fight! No. 1",BMS,9726190,9621476,0,-
183,Final Fantasy X-2,We're the Gullwings!,FMS,9566929,9845045,0,-
184,Final Fantasy X-2,"""Let me blow you a kiss.""",BMS,9842412,9245778,0,-
185,Final Fantasy X-2,The Bevelle Underground,FMS,9669811,9648622,0,-
186,Final Fantasy X-2,The Farplane Abyss,FMS,9243294,9829971,0,-
187,Final Fantasy X-2,Their Resting Place,BMS,9779582,9690442,0,-
188,Final Fantasy XI,"""FFXI Opening Theme""",EMS,9720472,9478378,0,-
189,Final Fantasy XI,"""FFXI Opening Theme""",BMS,9850847,9960784,0,-
190,Final Fantasy XI,Vana'diel March,FMS,9843750,9853960,0,-
191,Final Fantasy XI,Ronfaure,FMS,9922118,9823266,0,-
192,Final Fantasy XI,Battle Theme,BMS,9832845,9577869,0,-
193,Final Fantasy XI,Gustaberg,FMS,9888571,9891089,0,-
194,Final Fantasy XI,Heavens Tower,FMS,9926752,9783898,0,-
195,Final Fantasy XI,Sarutabaruta,FMS,9905229,9847222,0,-
196,Final Fantasy XI,Voyager,FMS,9869919,9779188,0,-
197,Final Fantasy XI,Selbina,FMS,9865385,9913758,0,-
198,Final Fantasy XI,Recollection,FMS,9868657,9875214,0,-
199,Final Fantasy XI,Awakening,BMS,9773973,9686137,0,0
200,Final Fantasy XI,Tought Battle #2,BMS,9734536,9823529,0,-
201,Final Fantasy XI,The Sanctuary of Zi'Tah,FMS,9916399,9944206,0,-
202,Final Fantasy XI,Fighters of the Crystal,BMS,9813505,9818018,0,0
203,Final Fantasy XI,A New Horizon - Tavnazian Archipelago,FMS,9948087,9806189,0,-
204,Final Fantasy XI,Iron Colossus,BMS,9780928,9940514,0,-
205,Final Fantasy XI,Ragnarok,BMS,9878419,9623729,0,0
206,Final Fantasy XI,Melodies Errant,BMS,9651163,9909556,0,-
207,Final Fantasy XI,Shinryu,BMS,9798598,9868421,0,0
208,Final Fantasy XII,The Archadian Empire - original - from FINAL FANTASY XII,EMS,9740947,9594828,0,-
209,Final Fantasy XII,FINAL FANTASY (FFXII Version),BMS,9603015,9734504,0,-
210,Final Fantasy XII,Streets of Rabanastre,FMS,9894569,9653162,0,-
211,Final Fantasy XII,The Dalmasca Estersand,FMS,9649306,9617284,0,0
212,Final Fantasy XII,Heart of a Child,FMS,9879747,9944206,0,-
213,Final Fantasy XII,Giza Plains (from FINAL FANTASY XII Original Soundtrack),FMS,9764901,9704620,0,-
214,Final Fantasy XII,The Archadian Empire - original - from FINAL FANTASY XII,FMS,9719512,9828244,0,-
215,Final Fantasy XII,Phon Coast,FMS,9805556,9877462,0,0
